case_id,order_id,customer_type,customer_profile,pincode,courier,order_value,signals,counter_evidence,decision,actual_outcome,reason,root_cause
CASE-1892,ORD-11261,ATYPICAL_LEGITIMATE,10 previous orders; 1 RTO; 4 successful COD,560002,C02,399,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1893,ORD-12414,LOYAL,25 previous orders; 1 RTO; 23 successful COD,560017,C03,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1894,ORD-11269,RISKY,12 previous orders; 5 RTO; 5 successful COD,560068,C03,1499,HIGH_PINCODE_RTO | CUSTOMER_RTO_HISTORY,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1895,ORD-11760,LOYAL,30 previous orders; 1 RTO; 16 successful COD,560100,C01,1299,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1896,ORD-10416,LOYAL,18 previous orders; 1 RTO; 7 successful COD,560001,C04,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1898,ORD-12291,LOYAL,30 previous orders; 1 RTO; 10 successful COD,560011,C01,799,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1899,ORD-10174,LOYAL,27 previous orders; 0 RTO; 11 successful COD,560007,C03,2999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,ESCALATE,DELIVERED,Evidence was incomplete or conflicting and required human judgement.,OPERATIONAL
CASE-1900,ORD-11725,ATYPICAL_LEGITIMATE,8 previous orders; 0 RTO; 5 successful COD,560076,C04,399,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-9100,SEED-560001-C03,LOYAL,Seeded precedent case for this lane,560001,C03,999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-9099,SEED-560009-C02,LOYAL,Seeded precedent case for this lane,560009,C02,999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
